
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/6-downstream16;;37;32.31;0.85;13.56;75.12;7;0;0
Integrated-Cable0/0/6-downstream11;;37;30.67;1.05;11.84;68.47;1;0;0
Integrated-Cable0/0/6-downstream10;;37;30.55;1.01;11.71;68.03;1;0;0
Integrated-Cable0/0/6-downstream13;;37;30.61;1.0;11.91;67.77;1;0;0
Integrated-Cable0/0/6-downstream12;;37;30.63;1.04;11.79;68.61;1;0;0
Integrated-Cable0/0/6-downstream20;;37;32.22;0.83;13.59;75.05;7;0;0
Integrated-Cable0/0/6-downstream21;;37;32.13;0.81;13.44;75.02;7;0;0
Integrated-Cable0/0/6-downstream22;;37;32.19;0.79;13.32;74.88;7;0;0
Integrated-Cable0/0/6-downstream23;;37;32.22;0.85;13.56;74.58;7;0;0
Integrated-Cable0/0/6-downstream5;;37;35.0;0.67;13.91;86.0;32;0;0
Integrated-Cable0/0/6-downstream4;;37;35.01;0.7;13.93;86.98;33;0;0
Integrated-Cable0/0/6-downstream7;;37;35.08;0.71;13.95;86.23;33;0;0
Integrated-Cable0/0/6-downstream6;;37;35.0;0.68;13.81;85.93;32;0;0
Integrated-Cable0/0/6-downstream1;;37;34.99;0.68;13.88;86.15;33;0;0
Integrated-Cable0/0/6-downstream0;;37;35.0;0.71;14.07;85.88;32;0;0
Integrated-Cable0/0/6-downstream3;;37;35.01;0.71;14.0;86.4;33;0;0
Integrated-Cable0/0/6-downstream2;;37;35.03;0.67;13.84;85.96;29;0;0
Integrated-Cable0/0/6-downstream9;;37;30.6;1.0;11.89;68.54;1;0;0
Integrated-Cable0/0/6-downstream8;;37;30.66;1.04;12.04;68.81;1;0;0


Node_BRA-03

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/7-downstream23;;37;28.93;0.4;10.85;68.75;0;0;0
Integrated-Cable0/0/7-downstream22;;37;28.81;0.36;10.73;68.62;0;0;0
Integrated-Cable0/0/7-downstream21;;37;28.83;0.37;10.72;68.61;0;0;0
