
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/1-downstream18;RFGW10-Channel_7/6.3-Gi7/11;37;29.75;0.23;11.11;66.79;1;0;0
Modular-Cable7/1/1-downstream19;RFGW10-Channel_7/6.4-Gi7/11;37;29.74;0.23;11.1;66.69;1;0;0


Node_BRA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/0-downstream22;;37;32.34;1.24;12.96;73.09;7;0;0
Integrated-Cable0/0/0-downstream23;;37;32.66;1.28;13.09;74.18;7;0;0
Integrated-Cable0/0/0-downstream20;;37;32.82;1.3;13.23;73.99;7;0;0
Integrated-Cable0/0/0-downstream21;;37;32.85;1.23;13.04;72.68;7;0;0
Integrated-Cable0/0/0-downstream3;;37;27.56;0.31;10.88;63.94;0;0;0
Integrated-Cable0/0/0-downstream2;;37;27.26;0.3;11.05;64.32;0;0;0
Integrated-Cable0/0/0-downstream1;;37;27.74;0.3;11.14;66.16;0;0;0
Integrated-Cable0/0/0-downstream0;;37;27.36;0.3;10.85;63.07;0;0;0
Integrated-Cable0/0/0-downstream7;;37;27.33;0.31;10.81;63.04;0;0;0
Integrated-Cable0/0/0-downstream6;;37;27.28;0.3;10.75;62.93;0;0;0
Integrated-Cable0/0/0-downstream5;;37;27.18;0.29;10.87;64.08;0;0;0
Integrated-Cable0/0/0-downstream4;;37;27.35;0.31;10.99;65.46;0;0;0
Integrated-Cable0/0/0-downstream9;;37;28.9;0.57;11.01;63.0;0;0;0
Integrated-Cable0/0/0-downstream8;;37;27.36;0.6;10.97;62.32;0;0;0
Integrated-Cable0/0/0-downstream19;;37;32.6;1.29;13.06;73.42;7;0;0
Integrated-Cable0/0/0-downstream18;;37;32.42;1.23;12.91;73.02;7;0;0
Integrated-Cable0/0/0-downstream13;;37;27.35;0.56;10.79;62.64;0;0;0
